scale name,column name,reverse,min,max,transform,sum,mean,Difference vs. Similarity,Self-Containment vs. Connection to Others,Self-Direction vs. Receptiveness to Influence,Self-Reliance vs. Dependence on Others, Consistency vs. Variability,Self-Expression vs. Harmony,Self-Interest vs. Commitment to Others
SCS22,SCS22_1,,1,7,0,sum,mean,mean,,,,,,
SCS22,SCS22_2,,1,7,0,sum,mean,mean,,,,,,
SCS22,SCS22_3,,1,7,0,sum,mean,mean,,,,,,
SCS22,SCS22_4,,1,7,0,sum,mean,mean,,,,,,
SCS22,SCS22_5,,1,7,0,sum,mean,,mean,,,,,
SCS22,SCS22_6,,1,7,0,sum,mean,,mean,,,,,
SCS22,SCS22_7,,1,7,0,sum,mean,,,mean,,,,
SCS22,SCS22_8,,1,7,0,sum,mean,,,mean,,,,
SCS22,SCS22_9,,1,7,0,sum,mean,,,,mean,,,
SCS22,SCS22_10,,1,7,0,sum,mean,,,,mean,,,
SCS22,SCS22_11,,1,7,0,sum,mean,,,,mean,,,
SCS22,SCS22_12,,1,7,0,sum,mean,,,,,mean,,
SCS22,SCS22_13,,1,7,0,sum,mean,,,,,mean,,
SCS22,SCS22_14,,1,7,0,sum,mean,,,,,mean,,
SCS22,SCS22_15,,1,7,0,sum,mean,,,,,mean,,
SCS22,SCS22_16,,1,7,0,sum,mean,,,,,mean,,
SCS22,SCS22_17,,1,7,0,sum,mean,,,,,,mean,
SCS22,SCS22_18,,1,7,0,sum,mean,,,,,,mean,
SCS22,SCS22_19,,1,7,0,sum,mean,,,,,,mean,
SCS22,SCS22_20,,1,7,0,sum,mean,,,,,,,mean
SCS22,SCS22_21,,1,7,0,sum,mean,,,,,,,mean
SCS22,SCS22_22,,1,7,0,sum,mean,,,,,,,mean